,index,rk,player,nation,pos,squad,comp,age,born,90s,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xa,a-xa,kp,1/3,ppa,crspa,prog,matches,year,player_year,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,playing_time_mp,playing_time_starts,playing_time_min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,expected_xa,per_90_minutes_xg,per_90_minutes_xa,per_90_minutes_xg+xa,per_90_minutes_npxg,per_90_minutes_npxg+xa,competition
10,10,11,Che Adams,eng ENG,FW,Southampton,eng Premier League,23.0,1996.0,12.3,184.0,265.0,69.4,2932.0,632.0,10.0,26.0,38.5,150.0,196.0,76.5,24.0,43.0,55.8,2,1.3,0.7,11.0,12.0,3.0,0.0,21.0,Matches,2020,Che Adams2020,4,37,9,24.3,3.0,0.73,0.11,0.44,0.0,0,0,4.2,4.2,0.11,-0.2,-0.2,30,12,1111,4,2,0,0,0,0,0.32,0.16,0.49,0.32,0.49,1.3,0.34,0.1,0.44,0.34,0.44,ENG
11,11,12,Tyler Adams,us USA,DFMF,RB Leipzig,de Bundesliga,20.0,1999.0,10.6,595.0,699.0,85.1,9793.0,2653.0,12.0,29.0,41.4,494.0,554.0,89.2,89.0,116.0,76.7,0,0.5,-0.5,6.0,30.0,8.0,2.0,52.0,Matches,2020,Tyler Adams2020,0,7,1,14.3,0.66,0.09,0.0,0.0,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4,14,10,953,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.04,0.05,0.09,0.04,0.09,DE
12,12,13,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,26.0,1993.0,8.3,140.0,191.0,73.3,2008.0,429.0,4.0,16.0,25.0,119.0,150.0,79.3,17.0,25.0,68.0,1,0.9,0.1,7.0,5.0,4.0,2.0,17.0,Matches,2020,Sargis Adamyan2020,5,20,10,50.0,2.41,1.21,0.25,0.5,0.0,0,0,4.1,4.1,0.2,0.9,0.9,15,6,746,5,1,0,0,1,0,0.6,0.12,0.72,0.6,0.72,0.9,0.49,0.11,0.6,0.49,0.6,DE
13,13,14,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32.0,1987.0,0.3,4.0,6.0,66.7,121.0,98.0,0.0,0.0,,2.0,2.0,100.0,2.0,4.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020,Antonio Adán2020,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,1,0,25,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES
14,14,15,Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20.0,1999.0,2.1,41.0,46.0,89.1,546.0,68.0,2.0,2.0,100.0,34.0,39.0,87.2,5.0,5.0,100.0,0,0.1,-0.1,2.0,1.0,0.0,0.0,1.0,Matches,2020,Bobby Adekanye2020,1,5,4,80.0,2.39,1.91,0.2,0.25,0.0,0,0,1.7,1.7,0.34,-0.7,-0.7,11,0,188,1,0,0,0,1,0,0.48,0.0,0.48,0.48,0.48,0.1,0.82,0.05,0.87,0.82,0.87,IT
15,15,16,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21.0,1998.0,2.6,61.0,80.0,76.3,1113.0,358.0,2.0,3.0,66.7,47.0,57.0,82.5,12.0,20.0,60.0,0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,Matches,2020,Claud Adjapong2020,0,3,1,33.3,1.17,0.39,0.0,0.0,0.0,0,0,0.6,0.6,0.18,-0.6,-0.6,5,2,231,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22,IT
16,16,17,Amine Adli,fr FRA,MFFW,Toulouse,fr Ligue 1,19.0,2000.0,0.5,21.0,27.0,77.8,336.0,127.0,0.0,0.0,,19.0,21.0,90.5,2.0,6.0,33.3,0,0.1,-0.1,2.0,4.0,1.0,0.0,5.0,Matches,2020,Amine Adli2020,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,4,0,46,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.12,0.12,0.0,0.12,FR
17,17,18,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,19.0,2000.0,11.3,459.0,578.0,79.4,8478.0,1973.0,4.0,14.0,28.6,360.0,419.0,85.9,95.0,145.0,65.5,3,2.0,1.0,18.0,50.0,9.0,0.0,68.0,Matches,2020,Yacine Adli2020,3,18,6,33.3,1.59,0.53,0.17,0.5,1.0,0,0,0.9,0.9,0.05,2.1,2.1,21,11,1020,3,3,0,0,3,0,0.26,0.26,0.53,0.26,0.53,2.0,0.08,0.18,0.26,0.08,0.26,FR
18,18,19,Adrián,es ESP,GK,Liverpool,eng Premier League,32.0,1987.0,9.7,227.0,314.0,72.3,6825.0,3820.0,2.0,4.0,50.0,107.0,108.0,99.1,118.0,202.0,58.4,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,Matches,2020,Adrián2020,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,11,9,875,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENG
19,19,20,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,38.0,1981.0,2.3,33.0,57.0,57.9,428.0,88.0,0.0,1.0,0.0,32.0,48.0,66.7,1.0,8.0,12.5,0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,Matches,2020,Aritz Aduriz2020,1,6,3,50.0,2.6,1.3,0.17,0.33,0.0,0,1,1.3,0.6,0.1,-0.3,0.4,14,0,208,1,0,0,1,3,0,0.43,0.0,0.43,0.43,0.43,0.0,0.58,0.0,0.58,0.25,0.25,ES
20,20,21,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22.0,1996.0,20.1,709.0,969.0,73.2,12415.0,6166.0,11.0,49.0,22.4,586.0,715.0,82.0,112.0,205.0,54.6,0,1.9,-1.9,16.0,47.0,21.0,12.0,141.0,Matches,2020,Lumor Agbenyenu2020,1,14,2,14.3,0.7,0.1,0.07,0.5,0.0,0,0,0.3,0.3,0.02,0.7,0.7,23,20,1805,1,0,0,0,5,1,0.05,0.0,0.05,0.05,0.05,1.9,0.02,0.1,0.11,0.02,0.11,ES
21,21,22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23.0,1996.0,23.3,722.0,1014.0,71.2,12629.0,6069.0,9.0,49.0,18.4,605.0,726.0,83.3,108.0,239.0,45.2,1,1.0,0.0,12.0,36.0,14.0,5.0,123.0,Matches,2020,Martin Agirregabiria2020,1,3,1,33.3,0.13,0.04,0.33,1.0,0.0,0,0,0.9,0.9,0.29,0.1,0.1,31,23,2099,1,1,0,0,5,1,0.04,0.04,0.09,0.04,0.09,1.0,0.04,0.04,0.08,0.04,0.08,ES
22,22,23,Lucien Agoume,fr FRA,MF,Inter,it Serie A,17.0,2002.0,0.8,36.0,39.0,92.3,671.0,201.0,0.0,0.0,,30.0,33.0,90.9,6.0,6.0,100.0,0,0.1,-0.1,1.0,4.0,2.0,1.0,6.0,Matches,2020,Lucien Agoume2020,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,3,0,68,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.08,0.08,0.0,0.08,IT
