,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
577,Kalifa Coulibaly\Kalifa-Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,27,1991,18.0,199,336,59.2,2690,518,11,25,44.0,172,275,62.5,16,36,44.4,0,0.9,-0.9,13,14,8,3,22,Matches
578,Senou Coulibaly\Senou-Coulibaly,ml MLI,DF,Dijon,fr Ligue 1,24,1994,7.4,322,383,84.1,7610,2709,2,4,50.0,193,217,88.9,127,162,78.4,0,0.0,0.0,1,19,2,0,20,Matches
579,Yoann Court\Yoann-Court,fr FRA,FWMF,Brest,fr Ligue 1,29,1990,16.3,378,549,68.9,6858,2059,8,33,24.2,290,369,78.6,80,147,54.4,7,2.2,+4.8,16,43,15,5,62,Matches
580,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,es La Liga,27,1992,34.0,849,1084,78.3,21914,10821,0,1,0.0,522,523,99.8,327,560,58.4,0,0.0,0.0,0,4,0,0,0,Matches
581,Philippe Coutinho\Philippe-Coutinho,br BRA,MFFW,Bayern Munich,de Bundesliga,27,1992,15.7,709,867,81.8,12745,3627,13,34,38.2,559,632,88.4,137,201,68.2,6,3.5,+2.5,31,114,34,1,124,Matches
582,Nicolas Cozza\Nicolas-Cozza,fr FRA,DF,Montpellier,fr Ligue 1,20,1999,6.2,193,233,82.8,4063,1466,1,4,25.0,138,153,90.2,54,76,71.1,0,0.0,0.0,0,8,1,0,19,Matches
583,Alessio Cragno\Alessio-Cragno,it ITA,GK,Cagliari,it Serie A,25,1994,16.0,305,475,64.2,9238,6113,4,4,100.0,152,154,98.7,149,317,47.0,0,0.0,0.0,1,4,1,0,0,Matches
584,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,eng Premier League,29,1989,30.3,1241,1681,73.8,21623,10692,18,88,20.5,1005,1151,87.3,218,442,49.3,0,1.9,-1.9,23,115,22,15,217,Matches
585,Domenico Criscito\Domenico-Criscito,it ITA,DF,Genoa,it Serie A,32,1986,22.8,964,1250,77.1,20196,7598,6,26,23.1,722,807,89.5,236,417,56.6,0,1.4,-1.4,22,84,31,10,149,Matches
586,Bryan Cristante\Bryan-Cristante,it ITA,MF,Roma,it Serie A,24,1995,18.0,915,1072,85.4,19507,5779,2,22,9.1,651,717,90.8,262,333,78.7,3,1.6,+1.4,21,137,22,0,114,Matches
587,Sebastián Cristóforo\Sebastian-Cristoforo,uy URU,MF,Eibar,es La Liga,25,1993,9.7,232,313,74.1,4126,1136,5,16,31.3,178,210,84.8,49,87,56.3,0,0.5,-0.5,7,27,2,0,31,Matches
588,Sebastián Cristóforo\Sebastian-Cristoforo,uy URU,MF,Fiorentina,it Serie A,25,1993,1.0,41,49,83.7,737,334,1,3,33.3,32,34,94.1,8,12,66.7,0,0.2,-0.2,3,0,0,0,5,Matches
589,Juan Cuadrado\Juan-Cuadrado,co COL,DF,Juventus,it Serie A,31,1988,29.5,2055,2322,88.5,37750,14010,22,49,44.9,1658,1764,94.0,375,509,73.7,5,4.5,+0.5,45,171,52,19,259,Matches
590,Cucho\Cucho,co COL,FWMF,Mallorca,es La Liga,20,1999,16.5,315,448,70.3,4812,1241,18,41,43.9,253,337,75.1,44,70,62.9,1,1.3,-0.3,17,18,8,4,31,Matches
591,Marc Cucurella\Marc-Cucurella,es ESP,MFDF,Getafe,es La Liga,21,1998,36.0,939,1408,66.7,16001,6392,24,102,23.5,767,954,80.4,148,352,42.0,5,4.7,+0.3,49,87,51,24,211,Matches
592,Iván Cuéllar\Ivan-Cuellar,es ESP,GK,Leganés,es La Liga,35,1984,27.0,423,823,51.4,19260,14320,0,0,,98,100,98.0,325,723,45.0,0,0.0,0.0,0,27,1,0,3,Matches
593,Jaume Cuéllar\Jaume-Cuellar,bo BOL,FWMF,SPAL,it Serie A,17,2001,0.8,14,16,87.5,232,14,0,0,,11,13,84.6,3,3,100.0,0,0.0,0.0,0,0,0,0,1,Matches
594,Mickaël Cuisance\Mickael-Cuisance,fr FRA,MFFW,Bayern Munich,de Bundesliga,19,1999,3.4,156,192,81.3,3057,753,1,8,12.5,113,126,89.7,42,58,72.4,0,0.2,-0.2,4,16,4,1,20,Matches
595,Matheus Cunha\Matheus-Cunha,br BRA,FWMF,Hertha BSC,de Bundesliga,20,1999,8.3,120,176,68.2,2649,898,3,10,30.0,82,115,71.3,35,51,68.6,0,0.4,-0.4,7,19,8,1,28,Matches
596,Matheus Cunha\Matheus-Cunha,br BRA,FWMF,RB Leipzig,de Bundesliga,20,1999,3.1,74,96,77.1,1208,281,2,7,28.6,62,76,81.6,10,13,76.9,1,0.3,+0.7,3,6,5,2,12,Matches
597,Felipe Curcio\Felipe-Curcio,br BRA,DF,Brescia,it Serie A,26,1993,0.1,8,12,66.7,114,53,0,0,,8,10,80.0,0,2,0.0,0,0.0,0.0,0,1,0,0,1,Matches
598,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,eng Premier League,21,1998,3.3,38,56,67.9,487,66,2,2,100.0,36,49,73.5,0,5,0.0,0,0.0,0.0,1,2,0,0,1,Matches
599,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Fiorentina,it Serie A,21,1998,9.3,120,169,71.0,1694,290,4,13,30.8,104,131,79.4,12,25,48.0,1,1.0,0.0,7,2,8,1,9,Matches
600,Wylan Cyprien\Wylan-Cyprien,fr FRA,MF,Nice,fr Ligue 1,24,1995,19.7,1122,1343,83.5,22657,5662,9,30,30.0,838,914,91.7,275,399,68.9,3,2.7,+0.3,35,103,8,2,139,Matches
601,Rafael Czichos\Rafael-Czichos,de GER,DF,Köln,de Bundesliga,29,1990,24.5,990,1180,83.9,23215,8988,7,18,38.9,609,677,90.0,374,485,77.1,1,0.3,+0.7,3,69,3,0,87,Matches
602,Lennart-Marten Czyborra\Lennart-Marten-Czyborra,de GER,DF,Atalanta,it Serie A,20,1999,0.2,8,10,80.0,104,3,0,0,,8,10,80.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
603,Marco D'Alessandro\Marco-DAlessandro,it ITA,MFDF,SPAL,it Serie A,28,1991,8.7,191,259,73.7,2865,829,6,24,25.0,164,196,83.7,21,39,53.8,0,1.0,-1.0,14,8,10,3,25,Matches
604,Danilo D'Ambrosio\Danilo-DAmbrosio,it ITA,DF,Inter,it Serie A,30,1988,15.6,768,902,85.1,14021,4609,11,25,44.0,609,671,90.8,148,206,71.8,0,1.4,-1.4,8,43,13,3,77,Matches
605,Felice D'Amico\Felice-DAmico,it ITA,MF,Sampdoria,it Serie A,18,2000,0.0,4,5,80.0,49,14,0,0,,4,5,80.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
606,Lucas Da Cunha\Lucas-Da-Cunha,fr FRA,MF,Rennes,fr Ligue 1,18,2001,0.8,18,22,81.8,230,29,2,4,50.0,15,16,93.8,1,2,50.0,0,0.1,-0.1,2,0,1,0,1,Matches
607,Jacopo Da Riva\Jacopo-Da-Riva,it ITA,FW,Atalanta,it Serie A,18,2000,0.0,2,2,100.0,24,9,0,0,,2,2,100.0,0,0,,0,0.0,0.0,1,0,0,0,0,Matches
608,Damien Da Silva\Damien-Da-Silva,fr FRA,DF,Rennes,fr Ligue 1,31,1988,24.9,1068,1220,87.5,24092,6898,6,16,37.5,705,745,94.6,357,459,77.8,2,1.0,+1.0,4,54,3,1,49,Matches
609,Bryan Dabo\Bryan-Dabo,bf BFA,MF,SPAL,it Serie A,27,1992,12.5,500,578,86.5,8394,1885,12,20,60.0,407,447,91.1,81,111,73.0,4,0.8,+3.2,12,52,5,0,47,Matches
610,Moanes Dabour\Moanes-Dabour,il ISR,FW,Sevilla,es La Liga,27,1992,0.3,14,19,73.7,243,75,0,2,0.0,13,15,86.7,1,2,50.0,0,0.0,0.0,0,0,3,0,3,Matches
611,Moanes Dabour\Moanes-Dabour,il ISR,FW,Hoffenheim,de Bundesliga,27,1992,8.5,189,260,72.7,2748,806,12,30,40.0,149,189,78.8,28,41,68.3,0,0.6,-0.6,6,18,8,0,27,Matches
612,Colin Dagba\Colin-Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,20,1998,7.4,372,414,89.9,5527,1409,4,8,50.0,336,359,93.6,32,47,68.1,0,0.6,-0.6,5,7,8,4,22,Matches
613,Mahmoud Dahoud\Mahmoud-Dahoud,de GER,MF,Dortmund,de Bundesliga,23,1996,6.2,447,496,90.1,8313,1592,5,12,41.7,348,375,92.8,94,109,86.2,1,0.4,+0.6,6,38,8,0,38,Matches
614,Leon Dajaku\Leon-Dajaku,de GER,DF,Bayern Munich,de Bundesliga,18,2001,0.1,5,6,83.3,121,6,0,0,,3,4,75.0,2,2,100.0,0,0.0,0.0,0,0,0,0,0,Matches
615,Felipe dal Belo\Felipe-dal-Belo,br BRA,DF,SPAL,it Serie A,35,1984,11.1,389,467,83.3,8321,3279,2,17,11.8,272,294,92.5,115,156,73.7,0,0.0,0.0,1,20,3,1,32,Matches
616,Christian Dalle Mura\Christian-Dalle-Mura,it ITA,MF,Fiorentina,it Serie A,17,2002,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
617,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,eng Premier League,20,1999,0.7,51,64,79.7,887,248,1,2,50.0,40,47,85.1,10,15,66.7,0,0.0,0.0,0,1,0,0,2,Matches
618,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,eng Premier League,32,1986,1.4,35,49,71.4,698,323,3,3,100.0,24,29,82.8,8,17,47.1,0,0.1,-0.1,2,4,1,1,4,Matches
619,Danilo\Danilo,br BRA,DF,Juventus,it Serie A,28,1991,16.0,1050,1218,86.2,18748,6022,9,30,30.0,856,920,93.0,185,268,69.0,0,0.6,-0.6,12,87,19,3,112,Matches
620,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,eng Premier League,32,1987,14.1,461,555,83.1,9842,4104,7,17,41.2,332,373,89.0,122,165,73.9,1,0.5,+0.5,5,24,0,0,36,Matches
621,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,eng Premier League,20,1998,3.1,115,159,72.3,2054,902,0,3,0.0,93,109,85.3,22,47,46.8,1,0.2,+0.8,1,10,2,1,14,Matches
622,Dante\Dante,br BRA,DF,Nice,fr Ligue 1,35,1983,21.0,1466,1588,92.3,30763,11130,6,13,46.2,1072,1104,97.1,388,471,82.4,0,0.3,-0.3,6,86,4,0,88,Matches
623,Andrea Danzi\Andrea-Danzi,it ITA,MF,Hellas Verona,it Serie A,20,1999,0.0,1,1,100.0,23,21,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,Matches
624,Sergi Darder\Sergi-Darder,es ESP,MFFW,Espanyol,es La Liga,25,1993,29.5,805,1076,74.8,16426,4386,14,38,36.8,581,710,81.8,210,328,64.0,1,2.2,-1.2,28,120,23,6,124,Matches
625,Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,de Bundesliga,28,1990,25.1,843,1153,73.1,17642,4610,7,53,13.2,582,693,84.0,254,407,62.4,4,3.8,+0.2,48,77,24,10,116,Matches
626,Matteo Darmian\Matteo-Darmian,it ITA,DF,Parma,it Serie A,29,1989,29.8,1208,1521,79.4,23679,9612,11,51,21.6,925,1051,88.0,272,419,64.9,1,0.8,+0.2,12,91,11,4,189,Matches
627,Alphonso Davies\Alphonso-Davies,ca CAN,DF,Bayern Munich,de Bundesliga,18,2000,24.8,1585,1834,86.4,25947,8022,34,79,43.0,1351,1495,90.4,200,260,76.9,5,3.6,+1.4,33,103,37,19,191,Matches
628,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,eng Premier League,26,1993,15.9,730,956,76.4,13128,5290,14,40,35.0,588,699,84.1,128,217,59.0,0,0.7,-0.7,10,62,9,6,91,Matches
629,Tom Davies\Tom-Davies,eng ENG,MF,Everton,eng Premier League,21,1998,22.5,681,870,78.3,13271,4037,8,36,22.2,517,611,84.6,156,223,70.0,0,0.3,-0.3,5,83,16,0,114,Matches
630,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,eng Premier League,21,1998,6.1,107,141,75.9,1475,201,5,11,45.5,94,118,79.7,8,12,66.7,0,0.2,-0.2,7,7,2,0,8,Matches
631,Paweł Dawidowicz\Pawel-Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,24,1995,7.7,366,407,89.9,7310,2141,6,8,75.0,261,281,92.9,99,118,83.9,0,0.0,0.0,0,18,1,0,30,Matches
632,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,eng Premier League,29,1990,26.2,729,908,80.3,17549,5757,4,14,28.6,426,485,87.8,299,409,73.1,0,0.3,-0.3,4,57,2,0,53,Matches
633,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,eng Premier League,28,1991,31.0,1674,2244,74.6,34634,10510,27,91,29.7,1176,1423,82.6,471,730,64.5,21,18.3,+2.7,131,172,124,19,353,Matches
634,Sebastien De Maio\Sebastien-De-Maio,fr FRA,DF,Udinese,it Serie A,32,1987,16.7,533,661,80.6,11243,3817,5,16,31.3,368,415,88.7,160,230,69.6,0,0.0,0.0,0,18,3,1,38,Matches
635,Rodrigo De Paul\Rodrigo-De-Paul,ar ARG,MF,Udinese,it Serie A,25,1994,31.4,1377,1843,74.7,28748,7936,35,74,47.3,945,1114,84.8,397,655,60.6,6,6.9,-0.9,71,132,66,20,237,Matches
636,Mattia De Sciglio\Mattia-De-Sciglio,it ITA,DF,Juventus,it Serie A,26,1992,5.2,283,344,82.3,5053,1737,2,14,14.3,233,255,91.4,48,75,64.0,0,0.1,-0.1,2,19,5,0,32,Matches
637,Lorenzo De Silvestri\Lorenzo-De-Silvestri,it ITA,DF,Torino,it Serie A,31,1988,24.9,693,959,72.3,11993,4997,8,45,17.8,580,697,83.2,105,217,48.4,0,1.6,-1.6,18,46,23,17,140,Matches
638,Lucas Deaux\Lucas-Deaux,fr FRA,MF,Nîmes,fr Ligue 1,30,1988,14.8,541,691,78.3,11214,3387,7,20,35.0,388,477,81.3,146,194,75.3,1,0.9,+0.1,13,62,6,1,86,Matches
639,Mathieu Debuchy\Mathieu-Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,34,1985,19.7,808,1071,75.4,14546,6109,17,41,41.5,654,772,84.7,137,258,53.1,1,1.1,-0.1,16,56,13,7,144,Matches
640,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,eng Premier League,31,1988,24.7,405,707,57.3,6233,2062,13,48,27.1,340,542,62.7,52,117,44.4,2,3.4,-1.4,27,49,25,1,72,Matches
641,Grégoire Defrel\Gregoire-Defrel,mq MTQ,FWMF,Sassuolo,it Serie A,28,1991,10.9,305,342,89.2,4157,633,11,18,61.1,272,296,91.9,22,28,78.6,3,1.4,+1.6,8,12,7,0,17,Matches
642,Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Cagliari,it Serie A,23,1995,0.0,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
643,Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Lecce,it Serie A,23,1995,8.0,224,296,75.7,4563,1011,1,9,11.1,162,203,79.8,61,84,72.6,1,0.3,+0.7,9,11,5,1,22,Matches
644,Romain Del Castillo\Romain-Del-Castillo,fr FRA,FWMF,Rennes,fr Ligue 1,23,1996,13.8,379,482,78.6,5931,1576,6,25,24.0,325,378,86.0,48,79,60.8,5,2.9,+2.1,22,25,19,6,54,Matches
645,Thomas Delaine\Thomas-Delaine,fr FRA,DF,Metz,fr Ligue 1,27,1992,13.9,468,677,69.1,7868,3182,6,34,17.6,379,466,81.3,83,177,46.9,0,0.5,-0.5,11,37,11,6,64,Matches
646,Thomas Delaney\Thomas-Delaney,dk DEN,MF,Dortmund,de Bundesliga,27,1991,9.2,506,586,86.3,9520,1767,8,17,47.1,392,431,91.0,106,138,76.8,0,0.0,0.0,1,38,0,0,30,Matches
647,Paul Delecroix\Paul-Delecroix,fr FRA,GK,Metz,fr Ligue 1,30,1988,1.5,27,44,61.4,1136,894,0,0,,8,8,100.0,19,36,52.8,0,0.0,0.0,0,3,0,0,0,Matches
648,Cristian Dell'Orco\Cristian-DellOrco,it ITA,DF,Lecce,it Serie A,25,1994,11.2,444,556,79.9,8910,3446,6,19,31.6,341,391,87.2,97,146,66.4,1,0.5,+0.5,6,22,12,9,60,Matches
649,Andy Delort\Andy-Delort,dz ALG,FW,Montpellier,fr Ligue 1,27,1991,25.3,451,765,59.0,8284,1867,8,51,15.7,352,504,69.8,91,210,43.3,3,4.1,-1.1,36,42,30,14,78,Matches
650,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,eng Premier League,29,1989,13.2,676,778,86.9,14008,3540,7,16,43.8,480,522,92.0,189,240,78.8,0,0.3,-0.3,6,63,15,4,67,Matches
651,Moussa Dembélé\Moussa-Dembele,fr FRA,FW,Lyon,fr Ligue 1,23,1996,24.3,347,469,74.0,4919,733,15,39,38.5,296,377,78.5,36,53,67.9,2,1.8,+0.2,24,18,15,1,28,Matches
652,Ousmane Dembélé\Ousmane-Dembele,fr FRA,FW,Barcelona,es La Liga,22,1997,4.0,201,261,77.0,3426,761,4,19,21.1,166,188,88.3,31,54,57.4,0,0.6,-0.6,8,13,13,3,24,Matches
653,Merih Demiral\Merih-Demiral,tr TUR,DF,Juventus,it Serie A,21,1998,4.6,290,306,94.8,5505,1403,6,8,75.0,235,241,97.5,49,57,86.0,1,0.3,+0.7,1,3,2,0,13,Matches
654,Kerem Demirbay\Kerem-Demirbay,de GER,MF,Leverkusen,de Bundesliga,26,1993,17.5,947,1214,78.0,18600,5956,16,43,37.2,714,809,88.3,217,362,59.9,5,3.8,+1.2,41,103,11,1,148,Matches
655,Diego Demme\Diego-Demme,de GER,MF,RB Leipzig,de Bundesliga,27,1991,13.5,933,1076,86.7,16232,4126,13,35,37.1,757,830,91.2,163,211,77.3,0,1.1,-1.1,12,85,15,1,86,Matches
656,Diego Demme\Diego-Demme,de GER,MF,Napoli,it Serie A,27,1991,10.0,715,782,91.4,13894,2501,13,23,56.5,534,576,92.7,168,183,91.8,0,0.4,-0.4,9,93,8,1,48,Matches
657,Jason Denayer\Jason-Denayer,be BEL,DF,Lyon,fr Ligue 1,24,1995,23.7,1492,1568,95.2,33328,9296,9,12,75.0,959,983,97.6,524,573,91.4,1,0.2,+0.8,3,62,1,0,60,Matches
658,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,eng Premier League,24,1995,31.1,1087,1284,84.7,22070,4878,8,36,22.2,799,921,86.8,280,327,85.6,0,0.6,-0.6,7,54,4,1,59,Matches
659,Kevin Denkey\Kevin-Denkey,tg TOG,FW,Nîmes,fr Ligue 1,18,2000,6.7,102,149,68.5,1496,289,3,13,23.1,85,117,72.6,14,19,73.7,1,0.3,+0.7,6,3,2,1,11,Matches
660,Stefano Denswil\Stefano-Denswil,nl NED,DF,Bologna,it Serie A,26,1993,24.9,1092,1266,86.3,22657,8162,7,20,35.0,793,868,91.4,292,378,77.2,1,0.5,+0.5,9,90,8,0,104,Matches
661,Fabio Depaoli\Fabio-Depaoli,it ITA,MFDF,Sampdoria,it Serie A,22,1997,20.6,479,697,68.7,8418,3704,8,48,16.7,394,489,80.6,77,160,48.1,1,2.3,-1.3,26,28,24,17,108,Matches
662,Memphis Depay\Memphis-Depay,nl NED,FWMF,Lyon,fr Ligue 1,25,1994,11.3,368,485,75.9,6162,1677,8,19,42.1,304,361,84.2,56,105,53.3,2,2.9,-0.9,22,29,17,1,63,Matches
663,Kastriot Dermaku\Kastriot-Dermaku,al ALB,DF,Parma,it Serie A,27,1992,11.4,321,377,85.1,7714,2395,8,11,72.7,184,204,90.2,129,162,79.6,0,0.0,0.0,0,14,1,0,22,Matches
664,Daniele Dessena\Daniele-Dessena,it ITA,MF,Brescia,it Serie A,32,1987,20.8,563,710,79.3,10529,3076,7,23,30.4,431,489,88.1,125,198,63.1,0,0.2,-0.2,3,49,10,1,90,Matches
665,Mattia Destro\Mattia-Destro,it ITA,FW,Bologna,it Serie A,28,1991,2.1,14,20,70.0,247,102,1,2,50.0,11,16,68.8,2,2,100.0,0,0.9,-0.9,2,2,2,0,5,Matches
666,Mattia Destro\Mattia-Destro,it ITA,FWMF,Genoa,it Serie A,28,1991,1.7,20,26,76.9,223,37,2,5,40.0,18,21,85.7,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
667,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,eng Premier League,25,1994,23.3,603,823,73.3,10186,2555,26,73,35.6,461,558,82.6,116,192,60.4,5,4.6,+0.4,45,30,29,2,75,Matches
668,Deyverson\Deyverson,br BRA,FW,Getafe,es La Liga,28,1991,2.3,34,68,50.0,628,177,3,10,30.0,22,34,64.7,9,24,37.5,1,0.6,+0.4,4,9,2,0,9,Matches
669,Samuel Di Carmine\Samuel-Di-Carmine,it ITA,FW,Hellas Verona,it Serie A,30,1988,14.4,181,256,70.7,2206,142,19,32,59.4,151,208,72.6,11,16,68.8,0,0.6,-0.6,5,1,2,0,4,Matches
670,Federico Di Francesco\Federico-Di-Francesco,it ITA,FW,SPAL,it Serie A,25,1994,12.0,264,346,76.3,4257,1068,10,17,58.8,215,258,83.3,39,71,54.9,0,1.0,-1.0,17,9,13,2,36,Matches
671,Giovanni Di Lorenzo\Giovanni-Di-Lorenzo,it ITA,DF,Napoli,it Serie A,25,1993,33.0,2003,2274,88.1,34218,12209,41,100,41.0,1632,1758,92.8,330,416,79.3,3,2.8,+0.2,30,134,39,8,207,Matches
672,Ángel Di María\Angel-Di-Maria,ar ARG,FWMF,Paris S-G,fr Ligue 1,31,1988,22.2,940,1290,72.9,17535,5555,19,63,30.2,710,846,83.9,211,381,55.4,14,13.7,+0.3,76,83,91,14,206,Matches
673,Boulaye Dia\Boulaye-Dia,fr FRA,FW,Reims,fr Ligue 1,22,1996,20.1,251,328,76.5,3609,604,13,28,46.4,215,265,81.1,23,35,65.7,1,2.2,-1.2,23,16,12,0,24,Matches
674,Fousseni Diabaté\Fousseni-Diabate,ml MLI,FWMF,Amiens,fr Ligue 1,23,1995,13.2,362,482,75.1,5079,1361,18,37,48.6,310,383,80.9,34,62,54.8,3,1.8,+1.2,16,18,5,2,41,Matches
675,Moussa Diaby\Moussa-Diaby,fr FRA,FWMF,Leverkusen,de Bundesliga,20,1999,19.7,515,700,73.6,8277,1795,13,47,27.7,428,520,82.3,74,133,55.6,5,4.7,+0.3,34,24,27,14,62,Matches
676,Mouctar Diakhaby\Mouctar-Diakhaby,fr FRA,DF,Valencia,es La Liga,22,1996,16.0,726,804,90.3,15580,4485,5,8,62.5,497,530,93.8,224,266,84.2,0,0.0,0.0,1,34,1,1,35,Matches
677,Bafodé Diakité\Bafode-Diakite,fr FRA,DF,Toulouse,fr Ligue 1,18,2001,15.2,568,669,84.9,11551,3783,5,13,38.5,402,435,92.4,161,221,72.9,0,0.0,0.0,1,23,3,2,39,Matches
678,Abdou Diallo\Abdou-Diallo,fr FRA,DF,Paris S-G,fr Ligue 1,23,1996,13.3,986,1061,92.9,19786,6924,10,20,50.0,706,738,95.7,270,303,89.1,1,0.1,+0.9,3,84,5,1,78,Matches
679,Habib Diallo\Habib-Diallo,sn SEN,FW,Metz,fr Ligue 1,24,1995,24.4,318,451,70.5,4922,682,13,43,30.2,264,345,76.5,41,63,65.1,3,2.5,+0.5,26,16,5,1,22,Matches
680,Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Brest,fr Ligue 1,20,1999,17.3,729,838,87.0,15945,3015,4,15,26.7,484,544,89.0,241,279,86.4,1,0.7,+0.3,9,50,4,0,48,Matches
681,Moussa Diarra\Moussa-Diarra,fr FRA,DF,Toulouse,fr Ligue 1,18,2000,1.0,41,56,73.2,823,276,0,0,,33,38,86.8,8,18,44.4,0,0.0,0.0,0,1,0,0,1,Matches
682,Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,MFFW,Rennes,fr Ligue 1,23,1996,18.8,454,685,66.3,8807,3354,12,46,26.1,341,442,77.1,101,197,51.3,3,5.5,-2.5,41,38,26,6,124,Matches
683,Lucas Dias\Lucas-Dias,fr FRA,GK,Nîmes,fr Ligue 1,20,1999,3.5,51,97,52.6,2198,1729,0,0,,16,16,100.0,35,81,43.2,0,0.0,0.0,0,2,0,0,0,Matches
684,Amadou Diawara\Amadou-Diawara,gn GUI,MF,Roma,it Serie A,22,1997,16.9,888,996,89.2,18527,4264,9,14,64.3,621,679,91.5,258,303,85.1,1,0.5,+0.5,16,97,7,0,78,Matches
685,Brahim Díaz\Brahim-Diaz,es ESP,FWMF,Real Madrid,es La Liga,19,1999,0.7,35,40,87.5,472,117,0,2,0.0,33,36,91.7,2,2,100.0,0,0.0,0.0,0,2,1,0,2,Matches
686,Víctor Díaz\Victor-Diaz,es ESP,DF,Granada,es La Liga,31,1988,32.0,1020,1507,67.7,22122,10407,11,50,22.0,716,886,80.8,293,571,51.3,5,2.9,+2.1,27,100,33,18,251,Matches
687,Bakaye Dibassy\Bakaye-Dibassy,ml MLI,DF,Amiens,fr Ligue 1,29,1989,20.8,732,902,81.2,13030,4119,18,31,58.1,560,628,89.2,154,243,63.4,0,0.1,-0.1,3,32,3,2,57,Matches
688,Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,eng Premier League,25,1994,14.9,713,876,81.4,15425,4283,13,20,65.0,463,538,86.1,237,318,74.5,2,0.1,+1.9,4,56,3,0,45,Matches
689,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,eng Premier League,26,1993,33.7,1353,1946,69.5,25902,11352,15,82,18.3,1048,1287,81.4,290,577,50.3,7,5.7,+1.3,70,97,42,24,302,Matches
690,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,eng Premier League,28,1991,38.0,2791,3085,90.5,65378,18436,14,22,63.6,1736,1840,94.3,1041,1223,85.1,1,1.3,-0.3,7,228,9,0,156,Matches
691,Mitchell Dijks\Mitchell-Dijks,nl NED,DF,Bologna,it Serie A,26,1993,11.2,432,545,79.3,7458,3186,11,30,36.7,355,412,86.2,66,103,64.1,0,0.8,-0.8,11,38,9,7,73,Matches
692,Javairô Dilrosun\Javairo-Dilrosun,nl NED,MFFW,Hertha BSC,de Bundesliga,21,1998,14.5,298,412,72.3,5142,1575,5,24,20.8,237,292,81.2,56,96,58.3,2,1.2,+0.8,13,29,10,5,47,Matches
693,Federico Dimarco\Federico-Dimarco,it ITA,DF,Hellas Verona,it Serie A,21,1997,5.8,314,417,75.3,5925,2469,4,16,25.0,250,283,88.3,60,118,50.8,3,1.9,+1.1,13,31,10,4,56,Matches
694,Federico Dimarco\Federico-Dimarco,it ITA,DFMF,Inter,it Serie A,21,1997,0.3,11,14,78.6,215,65,0,0,,8,10,80.0,3,4,75.0,0,0.0,0.0,0,1,0,0,2,Matches
695,Tristan Dingomé\Tristan-Dingome,cm CMR,MF,Reims,fr Ligue 1,28,1991,9.9,269,370,72.7,4847,1060,10,34,29.4,206,256,80.5,53,80,66.3,1,1.0,0.0,12,25,14,0,43,Matches
696,Lois Diony\Lois-Diony,fr FRA,FW,Saint-Étienne,fr Ligue 1,26,1992,7.4,71,117,60.7,1031,180,7,14,50.0,55,84,65.5,9,19,47.4,0,0.2,-0.2,6,4,4,0,8,Matches
