,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
176,Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,es La Liga,31,1988,6.3,188,258,72.9,3272,1457,2,8,25.0,152,184,82.6,34,66,51.5,0,0.0,0.0,0,10,4,1,39,Matches
177,Leonardo Balerdi\Leonardo-Balerdi,ar ARG,DFMF,Dortmund,de Bundesliga,20,1999,1.5,114,128,89.1,2210,574,1,6,16.7,85,91,93.4,28,31,90.3,0,0.0,0.0,0,3,0,0,3,Matches
178,Marco Ballarini\Marco-Ballarini,it ITA,MF,Udinese,it Serie A,18,2001,0.0,5,5,100.0,106,35,0,0,,4,4,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
179,Fodé Ballo-Touré\Fode-Ballo-Toure,fr FRA,DF,Monaco,fr Ligue 1,22,1997,18.7,686,861,79.7,11942,4031,14,40,35.0,564,628,89.8,108,193,56.0,0,1.4,-1.4,14,48,14,7,91,Matches
180,Florent Balmont\Florent-Balmont,fr FRA,MF,Dijon,fr Ligue 1,39,1980,4.5,222,266,83.5,3875,954,7,9,77.8,174,193,90.2,41,64,64.1,0,0.0,0.0,2,19,2,0,26,Matches
181,Mario Balotelli\Mario-Balotelli,it ITA,FW,Brescia,it Serie A,28,1990,15.6,238,368,64.7,4650,1132,4,21,19.0,175,246,71.1,59,101,58.4,0,0.4,-0.4,8,24,11,3,40,Matches
182,Abdoulaye Bamba\Abdoulaye-Bamba,ci CIV,DF,Angers,fr Ligue 1,29,1990,6.2,207,279,74.2,3542,1719,1,12,8.3,177,202,87.6,29,65,44.6,0,0.3,-0.3,3,10,2,2,32,Matches
183,Jonathan Bamba\Jonathan-Bamba,fr FRA,FWMF,Lille,fr Ligue 1,23,1996,21.5,669,831,80.5,11101,3168,19,46,41.3,549,626,87.7,101,159,63.5,4,2.3,+1.7,35,61,21,0,94,Matches
184,Éver Banega\Ever-Banega,ar ARG,MF,Sevilla,es La Liga,31,1988,27.5,1950,2372,82.2,42571,12818,21,62,33.9,1347,1506,89.4,582,804,72.4,7,5.1,+1.9,59,268,33,7,304,Matches
185,Mattia Bani\Mattia-Bani,it ITA,DF,Bologna,it Serie A,25,1993,24.5,908,1109,81.9,21183,6913,6,19,31.6,567,635,89.3,335,455,73.6,0,0.0,0.0,1,59,2,1,65,Matches
