,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
28,Ruben Aguilar\Ruben-Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,791,675,116,9,0,102,18,61,0,0,0,0,502,154,135,14,642,15,107,5,666,0,8,6,19,Matches
29,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MFFW,Hellas Verona,it Serie A,28,1990,2.6,104,103,1,0,0,9,1,1,0,0,0,0,81,11,12,6,91,3,1,1,91,0,2,2,0,Matches
30,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,313,306,7,6,0,53,6,2,0,0,0,0,236,54,23,254,40,11,1,1,262,2,13,8,6,Matches
31,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,1223,1177,46,38,1,169,31,1,0,0,0,0,954,105,164,232,904,52,8,3,1073,0,14,6,18,Matches
32,Ola Aina\Ola-Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,1160,922,238,13,2,146,33,62,4,0,0,0,641,234,285,251,628,48,221,3,863,6,31,28,36,Matches
33,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,412,405,7,5,2,100,6,2,1,1,0,0,328,50,34,62,330,13,1,1,358,2,6,6,3,Matches
34,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,801,649,152,7,1,104,21,43,3,0,2,1,446,147,208,554,72,22,142,1,625,2,19,17,30,Matches
35,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,eng Premier League,22,1997,1.5,18,17,1,0,0,5,0,0,0,0,0,0,6,8,4,2,12,3,0,0,15,0,0,0,0,Matches
36,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,509,486,23,0,2,170,11,12,0,0,0,0,260,155,94,254,113,48,3,7,371,5,11,13,12,Matches
37,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,1929,1857,72,39,2,229,46,2,0,0,0,0,1586,174,169,448,1357,66,33,2,1767,2,27,10,18,Matches
