,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
343,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Sevilla,es La Liga,28,1991,5.5,170,113,57,12,0,16,3,0,0,0,0,0,81,5,84,108,31,0,0,24,127,0,6,0,0,Matches
344,Mehdi Bourabia\Mehdi-Bourabia,ma MAR,MF,Sassuolo,it Serie A,27,1991,10.3,758,729,29,22,4,117,18,7,4,1,1,2,583,93,82,106,623,9,3,6,658,3,14,8,7,Matches
345,Benjamin Bourigeaud\Benjamin-Bourigeaud,fr FRA,MF,Rennes,fr Ligue 1,25,1994,21.1,1223,1090,133,61,0,208,98,123,57,18,26,8,685,194,344,118,1027,46,15,3,924,3,26,15,35,Matches
346,Bilal Boutobba\Bilal-Boutobba,fr FRA,MFDF,Montpellier,fr Ligue 1,20,1998,0.1,6,6,0,0,0,1,0,3,0,0,0,0,2,3,1,4,1,0,0,1,3,0,1,0,2,Matches
347,Jarrod Bowen\Jarrod-Bowen,eng ENG,FW,West Ham,eng Premier League,22,1996,10.2,276,247,29,4,1,47,22,59,25,20,1,0,157,38,81,204,59,9,0,1,188,0,8,2,16,Matches
348,Dedryck Boyata\Dedryck-Boyata,be BEL,DF,Hertha BSC,de Bundesliga,28,1990,27.1,1345,1324,21,19,0,153,44,0,0,0,0,0,1052,150,143,222,1056,37,2,7,1219,2,18,7,8,Matches
349,John Boye\John-Boye,gh GHA,DF,Metz,fr Ligue 1,32,1987,23.5,891,869,22,19,0,119,20,0,0,0,0,0,640,120,131,158,665,41,3,6,772,2,21,6,7,Matches
350,Can Bozdogan\Can-Bozdogan,de GER,MF,Schalke 04,de Bundesliga,18,2001,2.6,73,72,1,1,0,21,1,0,0,0,0,0,46,17,10,60,10,1,0,0,54,0,1,0,4,Matches
351,Domagoj Bradarić\Domagoj-Bradaric,hr CRO,DF,Lille,fr Ligue 1,19,1999,15.8,829,656,173,25,0,98,17,93,7,1,5,1,463,159,207,573,80,28,141,1,625,2,12,10,30,Matches
352,Filip Bradarić\Filip-Bradaric,hr CRO,MF,Celta Vigo,es La Liga,27,1992,7.8,411,400,11,9,0,63,9,4,1,0,1,0,270,61,80,75,298,27,0,1,323,1,7,6,9,Matches
353,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,eng Premier League,27,1992,5.0,167,158,9,3,0,49,4,12,4,4,0,0,87,29,51,119,21,14,2,0,108,1,5,6,4,Matches
354,Martin Braithwaite\Martin-Braithwaite,dk DEN,FWMF,Barcelona,es La Liga,28,1991,4.5,128,126,2,0,0,29,0,4,0,0,0,0,103,14,11,12,106,5,0,0,99,0,2,3,5,Matches
355,Martin Braithwaite\Martin-Braithwaite,dk DEN,FWMF,Leganés,es La Liga,28,1991,21.5,390,386,4,1,3,112,10,9,0,0,0,0,215,103,72,41,254,47,1,10,269,2,13,12,14,Matches
356,Federico Brancolini\Federico-Brancolini,it ITA,GK,Fiorentina,it Serie A,18,2001,0.1,3,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,3,0,0,0,0,Matches
357,Brandon\Brandon,es ESP,FW,Osasuna,es La Liga,24,1995,4.5,117,109,8,0,0,34,3,4,0,0,0,0,71,28,18,19,79,12,4,1,82,0,6,3,9,Matches
358,Julian Brandt\Julian-Brandt,de GER,MFFW,Dortmund,de Bundesliga,23,1996,24.5,1677,1636,41,13,11,308,75,39,17,6,7,2,1229,282,166,267,1356,26,7,9,1395,4,26,39,44,Matches
359,Jarrad Branthwaite\Jarrad-Branthwaite,eng ENG,DF,Everton,eng Premier League,17,2002,3.3,212,206,6,4,0,9,5,0,0,0,0,0,173,12,27,148,55,7,0,0,187,0,8,0,0,Matches
360,Darko Brašanac\Darko-Brasanac,rs SRB,MF,Osasuna,es La Liga,27,1992,24.9,772,760,12,9,2,163,11,15,0,0,0,0,473,170,129,151,501,82,3,7,576,4,19,11,35,Matches
361,Erling Braut Håland\Erling-Braut-Haland,no NOR,FW,Dortmund,de Bundesliga,19,2000,11.8,236,210,26,0,0,68,0,6,0,0,0,0,161,47,28,152,50,10,3,3,174,2,2,2,14,Matches
362,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,eng Premier League,36,1983,3.9,132,96,36,8,0,20,5,0,0,0,0,0,69,15,48,11,105,0,0,13,101,0,4,2,0,Matches
363,Josip Brekalo\Josip-Brekalo,hr CRO,MFFW,Wolfsburg,de Bundesliga,21,1998,18.6,822,726,96,19,9,153,39,80,46,7,19,7,497,178,147,83,682,21,25,3,569,5,12,33,38,Matches
364,Gleison Bremer\Gleison-Bremer,br BRA,DF,Torino,it Serie A,22,1997,25.2,1125,1088,37,31,0,165,52,1,1,0,0,0,803,114,208,267,772,47,5,5,921,0,28,17,19,Matches
365,Marco Brescianini\Marco-Brescianini,it ITA,MF,Milan,it Serie A,19,2000,0.3,23,23,0,0,0,2,0,0,0,0,0,0,19,3,1,13,8,1,0,0,23,0,0,0,0,Matches
366,Anthony Briançon\Anthony-Briancon,fr FRA,DF,Nîmes,fr Ligue 1,24,1994,19.3,835,766,69,64,0,83,53,4,0,0,0,0,550,101,184,39,734,40,4,5,704,1,12,10,11,Matches
367,Jimmy Briand\Jimmy-Briand,fr FRA,FW,Bordeaux,fr Ligue 1,33,1985,16.9,343,305,38,3,3,108,2,2,0,0,0,0,236,72,35,52,254,10,3,11,274,0,3,7,8,Matches
368,Yan Brice Eteki\Yan-Brice-Eteki,cm CMR,MF,Granada,es La Liga,21,1997,16.7,427,420,7,6,0,107,8,0,0,0,0,0,271,75,81,28,357,17,0,4,338,1,14,5,10,Matches
369,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,eng Premier League,17,2001,0.1,2,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,0,0,0,Matches
370,Dylan Bronn\Dylan-Bronn,tn TUN,DF,Metz,fr Ligue 1,24,1995,9.0,293,280,13,11,0,33,19,0,0,0,0,0,189,30,74,29,245,13,2,2,239,0,8,2,3,Matches
371,David Brooks\David-Brooks,wal WAL,MF,Bournemouth,eng Premier League,22,1997,5.6,179,157,22,3,2,22,7,24,12,6,4,0,93,49,37,132,44,2,1,0,121,1,5,2,8,Matches
372,John Brooks\John-Brooks,us USA,DF,Wolfsburg,de Bundesliga,26,1993,24.7,1189,1144,45,41,0,122,48,1,0,0,0,0,761,189,239,848,195,92,4,13,990,1,20,15,14,Matches
373,Daniel Brosinski\Daniel-Brosinski,de GER,DF,Mainz 05,de Bundesliga,31,1988,19.0,1055,694,361,61,1,128,54,172,81,22,48,7,380,198,477,69,729,30,219,1,664,7,40,14,30,Matches
374,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,eng Premier League,23,1995,8.9,340,332,8,4,0,47,6,2,0,0,0,0,206,57,77,41,246,31,3,2,276,3,7,3,3,Matches
375,Marcelo Brozović\Marcelo-Brozovic,hr CRO,MF,Inter,it Serie A,26,1992,30.0,2159,2032,127,92,3,306,123,49,26,8,3,2,1513,365,281,288,1775,68,7,4,1905,11,25,36,32,Matches
376,Gastón Brugman\Gaston-Brugman,uy URU,MF,Parma,it Serie A,26,1992,16.2,678,638,40,28,2,122,24,12,6,4,2,0,441,108,129,101,547,18,3,3,567,1,5,18,11,Matches
377,Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,Wolfsburg,de Bundesliga,27,1991,9.0,306,287,19,19,0,44,3,0,0,0,0,0,231,37,38,44,227,25,0,1,268,1,5,0,2,Matches
378,Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,Mainz 05,de Bundesliga,27,1991,7.5,296,287,9,7,0,42,13,0,0,0,0,0,208,38,50,40,227,11,2,2,261,1,4,1,0,Matches
379,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FWMF,Hoffenheim,de Bundesliga,20,1998,4.3,138,132,6,0,0,36,2,6,2,1,1,0,87,29,22,34,90,5,4,2,106,0,2,1,8,Matches
380,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FW,Dortmund,de Bundesliga,20,1998,0.8,27,27,0,0,0,3,0,0,0,0,0,0,22,5,0,8,16,2,0,0,22,0,1,0,2,Matches
381,Bryan\Bryan,es ESP,MFFW,Leganés,es La Liga,18,2001,6.2,212,195,17,3,1,40,8,34,8,5,1,0,125,42,45,181,12,11,6,0,139,0,10,3,17,Matches
382,Bryan\Bryan,es ESP,FW,Sevilla,es La Liga,18,2001,0.7,28,28,0,0,0,5,1,2,0,0,0,0,24,2,2,27,1,0,0,0,24,0,1,0,0,Matches
383,Lucas Buadés\Lucas-Buades,fr FRA,FW,Nîmes,fr Ligue 1,21,1997,1.3,18,18,0,0,0,7,0,0,0,0,0,0,13,3,2,3,12,3,0,0,13,0,0,0,1,Matches
384,Ante Budimir\Ante-Budimir,hr CRO,FW,Mallorca,es La Liga,28,1991,30.7,584,552,32,0,0,251,3,5,1,0,0,0,302,132,150,310,77,59,1,15,381,2,17,9,26,Matches
385,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,eng Premier League,22,1996,27.4,1534,1343,191,66,16,378,87,166,108,46,50,10,1040,202,292,199,1272,29,17,2,1144,8,27,37,52,Matches
386,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,it Serie A,41,1978,9.0,212,145,67,10,1,17,2,0,0,0,0,0,159,14,39,20,148,0,1,40,195,0,2,0,1,Matches
387,Marius Bülter\Marius-Bulter,de GER,MFFW,Union Berlin,de Bundesliga,26,1993,25.8,655,626,29,1,2,150,16,72,0,0,0,0,321,161,173,198,362,35,27,11,411,3,18,15,42,Matches
388,Esteban Burgos\Esteban-Burgos,ar ARG,DF,Eibar,es La Liga,27,1992,12.4,380,355,25,22,0,62,30,1,0,0,0,0,132,65,183,31,276,53,3,1,244,2,11,1,3,Matches
389,Guido Burgstaller\Guido-Burgstaller,at AUT,FW,Schalke 04,de Bundesliga,30,1989,13.7,302,273,29,0,2,78,3,13,0,0,0,0,164,79,59,88,156,30,1,7,207,5,4,15,20,Matches
390,Burgui\Burgui,es ESP,MF,Alavés,es La Liga,25,1993,0.2,7,6,1,1,0,1,0,0,0,0,0,0,4,2,1,1,6,0,0,0,4,0,0,0,0,Matches
391,Jonathan Burkardt\Jonathan-Burkardt,de GER,FW,Mainz 05,de Bundesliga,19,2000,2.8,52,44,8,1,0,15,1,2,0,0,0,0,30,19,3,6,38,1,3,2,40,0,0,0,7,Matches
392,Oliver Burke\Oliver-Burke,sco SCO,MFFW,Alavés,es La Liga,22,1997,15.9,333,323,10,0,1,90,3,17,0,0,0,0,204,72,57,28,230,46,7,2,226,1,4,5,17,Matches
393,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,de Bundesliga,28,1990,30.8,1047,796,251,47,0,86,16,0,0,0,0,0,638,109,300,209,642,1,0,181,831,2,26,1,0,Matches
394,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,eng Premier League,27,1992,32.0,1841,1565,276,12,1,344,21,52,1,0,0,1,999,367,475,1211,162,111,263,2,1389,4,43,22,62,Matches
395,Patrick Burner\Patrick-Burner,fr FRA,DF,Nice,fr Ligue 1,23,1996,15.9,1089,936,153,23,2,109,8,24,0,0,0,0,753,178,158,40,893,16,130,2,931,4,16,16,24,Matches
396,Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,es La Liga,31,1988,27.6,2584,2489,95,90,14,399,52,1,0,0,0,0,1957,343,284,395,2082,69,4,8,2332,9,28,36,26,Matches
397,Unai Bustinza\Unai-Bustinza,es ESP,DF,Leganés,es La Liga,27,1992,29.8,1287,1098,189,48,3,159,55,46,0,0,0,0,571,238,478,42,919,147,141,7,902,8,35,16,31,Matches
398,Ludovic Butelle\Ludovic-Butelle,fr FRA,GK,Angers,fr Ligue 1,36,1983,26.0,696,414,282,79,0,46,11,0,0,0,0,0,265,49,382,322,206,2,0,115,449,1,15,1,0,Matches
399,Marcin Bułka\Marcin-Bulka,pl POL,GK,Paris S-G,fr Ligue 1,19,1999,1.0,18,11,7,1,0,1,0,0,0,0,0,0,17,0,1,2,13,0,0,3,17,0,0,0,0,Matches
400,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,eng Premier League,25,1993,14.4,763,624,139,11,0,145,2,7,0,0,0,0,406,199,158,107,450,54,128,5,625,2,17,7,16,Matches
401,Erick Cabaco\Erick-Cabaco,uy URU,DF,Getafe,es La Liga,24,1995,3.0,138,102,36,8,0,22,11,3,0,0,0,0,40,29,69,11,84,9,28,0,85,1,2,0,3,Matches
402,Erick Cabaco\Erick-Cabaco,uy URU,DF,Levante,es La Liga,24,1995,9.0,349,328,21,21,1,51,27,1,0,0,0,0,198,51,100,27,294,21,0,1,275,1,11,7,1,Matches
403,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,eng Premier League,37,1981,5.0,165,134,31,3,0,15,3,0,0,0,0,0,78,6,81,30,112,0,0,15,121,0,2,0,0,Matches
404,Yohan Cabaye\Yohan-Cabaye,fr FRA,MF,Saint-Étienne,fr Ligue 1,33,1986,9.5,505,480,25,12,0,90,16,25,12,9,0,2,328,77,100,18,453,19,1,4,403,1,5,4,11,Matches
405,Manuel Cabit\Manuel-Cabit,mq MTQ,DF,Metz,fr Ligue 1,26,1993,3.0,155,109,46,4,0,21,1,8,0,0,0,0,76,33,46,79,26,7,42,1,104,0,1,2,7,Matches
406,Ariday Cabrera\Ariday-Cabrera,es ESP,MFFW,Mallorca,es La Liga,30,1988,0.4,11,8,3,1,0,1,0,0,0,0,0,0,6,3,2,1,8,0,2,0,9,0,0,0,1,Matches
407,Leandro Cabrera\Leandro-Cabrera,uy URU,DF,Getafe,es La Liga,28,1991,17.0,503,443,60,40,0,76,56,7,0,0,0,0,144,53,306,335,67,56,20,1,272,4,22,3,14,Matches
408,Leandro Cabrera\Leandro-Cabrera,uy URU,DF,Espanyol,es La Liga,28,1991,17.0,819,730,89,31,2,127,44,8,0,0,0,0,401,103,315,590,77,65,56,1,553,5,27,12,15,Matches
409,Fabrizio Cacciatore\Fabrizio-Cacciatore,it ITA,DF,Cagliari,it Serie A,32,1986,12.8,705,574,131,17,0,94,29,37,0,0,0,0,349,155,201,115,449,20,114,2,557,0,14,16,16,Matches
410,Martín Cáceres\Martin-Caceres,uy URU,DF,Fiorentina,it Serie A,32,1987,26.2,1306,1162,144,62,2,163,44,12,0,0,0,0,888,141,277,368,799,34,82,13,1098,2,25,15,18,Matches
411,Anthony Caci\Anthony-Caci,fr FRA,DF,Strasbourg,fr Ligue 1,22,1997,7.7,520,435,85,6,3,96,31,20,0,0,0,0,275,114,131,149,272,17,79,0,416,2,7,9,14,Matches
412,Jhonder Cádiz\Jhonder-Cadiz,ve VEN,FWMF,Dijon,fr Ligue 1,24,1995,8.9,189,170,19,0,2,69,4,6,0,0,0,0,100,53,36,19,117,18,3,4,120,2,2,3,7,Matches
413,Mathieu Cafaro\Mathieu-Cafaro,fr FRA,FWMF,Reims,fr Ligue 1,22,1997,10.3,351,292,59,15,0,57,36,94,38,12,20,4,153,65,133,30,300,9,6,2,203,1,18,11,17,Matches
414,Jonathan Cafu\Jonathan-Cafu,br BRA,DF,Bordeaux,fr Ligue 1,28,1991,2.2,92,82,10,0,0,22,0,3,0,0,0,0,70,16,6,14,66,2,10,0,75,0,2,2,4,Matches
415,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,eng Premier League,33,1985,24.1,953,914,39,36,0,157,26,0,0,0,0,0,659,115,179,93,747,63,3,7,826,0,20,3,9,Matches
416,Felipe Caicedo\Felipe-Caicedo,ec ECU,FW,Lazio,it Serie A,30,1988,15.6,404,399,5,2,1,111,4,0,0,0,0,0,282,95,27,290,72,13,1,10,321,2,5,10,5,Matches
417,Arturo Calabresi\Arturo-Calabresi,it ITA,DF,Amiens,fr Ligue 1,23,1996,20.9,964,722,242,15,0,123,17,32,0,0,0,0,448,207,309,59,613,49,227,2,714,0,25,16,31,Matches
418,Davide Calabria\Davide-Calabria,it ITA,DF,Milan,it Serie A,22,1996,18.0,1169,980,189,23,1,121,24,47,0,0,0,0,685,211,273,74,868,45,166,5,945,1,17,17,26,Matches
419,Riccardo Calafiori\Riccardo-Calafiori,it ITA,DF,Roma,it Serie A,17,2002,0.7,14,14,0,0,0,0,0,0,0,0,0,0,10,2,2,8,3,3,0,0,10,0,0,0,0,Matches
420,Mattia Caldara\Mattia-Caldara,it ITA,DF,Atalanta,it Serie A,25,1994,10.7,424,409,15,15,0,43,5,2,0,0,0,0,313,53,58,34,351,21,0,2,381,1,9,2,5,Matches
421,Marco Calderoni\Marco-Calderoni,it ITA,DF,Lecce,it Serie A,30,1989,22.9,1122,891,231,32,1,140,34,103,23,1,11,1,579,224,319,830,96,12,176,3,829,5,17,19,61,Matches
422,Fernando Calero\Fernando-Calero,es ESP,DF,Espanyol,es La Liga,23,1995,11.6,577,558,19,11,1,49,10,0,0,0,0,0,432,56,89,132,395,38,8,2,507,0,11,9,4,Matches
423,Duje Ćaleta-Car\Duje-Caleta-Car,hr CRO,DF,Marseille,fr Ligue 1,22,1996,21.0,1059,1021,38,32,0,102,39,1,0,0,0,0,781,116,162,322,654,48,4,10,941,0,20,10,1,Matches
424,Hakan Çalhanoğlu\Hakan-Calhanoglu,tr TUR,MFFW,Milan,it Serie A,25,1994,30.0,1649,1496,153,45,8,276,76,151,92,37,36,3,1070,260,319,179,1396,32,13,12,1289,9,25,34,46,Matches
425,Daniel Caligiuri\Daniel-Caligiuri,it ITA,MFFW,Schalke 04,de Bundesliga,31,1988,25.5,997,842,155,60,4,245,45,122,66,5,44,5,482,214,301,115,771,42,29,3,637,7,20,24,80,Matches
426,José Callejón\Jose-Callejon,es ESP,FWMF,Napoli,it Serie A,32,1987,24.1,1246,1126,120,31,3,182,72,170,63,7,45,4,780,194,272,163,1014,31,25,7,993,3,20,15,38,Matches
427,Jonathan Calleri\Jonathan-Calleri,ar ARG,FW,Espanyol,es La Liga,25,1993,20.1,365,345,20,0,0,143,5,22,1,0,0,1,131,103,131,26,182,61,0,18,199,3,13,4,14,Matches
428,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,22,1997,29.2,594,568,26,3,3,215,7,19,0,0,0,0,271,179,144,60,323,60,1,23,393,3,9,7,25,Matches
429,Mahdi Camara\Mahdi-Camara,fr FRA,MF,Saint-Étienne,fr Ligue 1,21,1998,10.0,463,460,3,3,0,101,10,7,0,0,0,0,343,72,48,13,416,19,0,2,388,1,7,5,9,Matches
430,Souleymane Camara\Souleymane-Camara,sn SEN,FWMF,Montpellier,fr Ligue 1,36,1982,1.8,43,42,1,0,0,17,0,1,0,0,0,0,19,12,12,5,26,5,0,0,33,0,2,0,2,Matches
431,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,eng Premier League,25,1994,0.1,3,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,Matches
432,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Alavés,es La Liga,25,1994,14.4,533,491,42,24,2,121,26,24,11,4,4,1,359,77,97,53,448,21,1,1,430,1,14,8,11,Matches
433,Eduardo Camavinga\Eduardo-Camavinga,fr FRA,MF,Rennes,fr Ligue 1,16,2002,23.4,985,955,30,29,2,217,39,1,0,0,0,0,723,125,137,801,97,55,1,6,879,3,12,13,11,Matches
434,Sergio Camello\Sergio-Camello,es ESP,FW,Atlético Madrid,es La Liga,18,2001,0.3,5,5,0,0,0,2,0,0,0,0,0,0,3,1,1,1,3,0,0,0,2,0,0,0,1,Matches
435,José Campaña\Jose-Campana,es ESP,MF,Levante,es La Liga,26,1993,35.1,2121,1913,208,84,5,349,108,175,111,39,36,11,1337,370,414,287,1719,70,12,12,1650,13,53,31,61,Matches
436,Xisco Campos\Xisco-Campos,es ESP,DF,Mallorca,es La Liga,37,1982,5.3,198,188,10,9,0,26,10,3,0,0,0,0,119,23,56,36,138,15,1,1,153,0,9,0,4,Matches
437,Víctor Campuzano\Victor-Campuzano,es ESP,FW,Espanyol,es La Liga,22,1997,9.7,151,135,16,2,1,43,1,8,0,0,0,0,81,37,33,100,32,9,0,2,99,2,1,2,16,Matches
438,Emre Can\Emre-Can,de GER,MFDF,Dortmund,de Bundesliga,25,1994,10.6,739,721,18,14,0,98,30,6,0,0,0,0,542,104,93,139,557,22,4,10,651,3,10,3,15,Matches
439,Emre Can\Emre-Can,de GER,MF,Juventus,it Serie A,25,1994,3.2,164,159,5,3,1,27,3,3,0,0,0,0,130,21,13,23,133,3,2,1,142,0,3,1,2,Matches
440,Sergio Canales\Sergio-Canales,es ESP,MFFW,Betis,es La Liga,28,1991,35.1,2220,1976,244,142,9,384,85,155,84,14,31,6,1577,269,374,1933,221,36,17,9,1865,14,35,25,47,Matches
441,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,eng Premier League,25,1994,13.4,1147,1044,103,6,4,141,27,47,1,0,1,0,825,189,133,141,869,28,96,3,1008,4,14,16,21,Matches
442,Antonio Candreva\Antonio-Candreva,it ITA,DF,Inter,it Serie A,32,1987,22.1,1371,1155,216,13,2,165,79,178,31,6,15,7,664,310,397,227,949,15,172,6,1053,8,17,27,53,Matches
443,Gianmarco Cangiano\Gianmarco-Cangiano,it ITA,FWMF,Bologna,it Serie A,17,2001,0.2,12,11,1,0,0,1,2,1,0,0,0,0,8,0,4,0,11,1,0,0,9,0,1,0,0,Matches
444,Todd Cantwell\Todd-Cantwell,eng ENG,FWMF,Norwich City,eng Premier League,21,1998,27.7,1107,1070,37,13,1,259,29,25,4,0,1,0,818,183,106,93,951,30,15,9,884,6,35,23,38,Matches
445,Ander Capa\Ander-Capa,es ESP,DF,Athletic Club,es La Liga,27,1992,31.9,1598,1211,387,12,3,237,27,104,2,0,0,0,758,407,433,90,1036,65,373,5,1188,3,36,23,66,Matches
446,Pierrick Capelle\Pierrick-Capelle,fr FRA,MFDF,Angers,fr Ligue 1,32,1987,19.4,790,746,44,8,1,147,17,28,4,3,0,0,529,142,119,594,108,30,32,2,646,2,10,10,18,Matches
447,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,eng Premier League,31,1988,29.2,1430,1348,82,38,4,185,76,23,7,4,3,0,838,246,346,212,1069,104,3,9,1158,3,17,15,20,Matches
448,Gianluca Caprari\Gianluca-Caprari,it ITA,FWMF,Sampdoria,it Serie A,26,1993,7.4,256,220,36,6,0,67,11,25,18,11,3,1,165,43,48,34,209,8,5,0,189,0,1,6,12,Matches
449,Gianluca Caprari\Gianluca-Caprari,it ITA,FWMF,Parma,it Serie A,26,1993,6.5,212,186,26,7,2,33,5,21,10,1,4,2,146,29,37,24,179,3,1,4,169,2,1,4,8,Matches
450,Francesco Caputo\Francesco-Caputo,it ITA,FW,Sassuolo,it Serie A,31,1987,32.6,813,734,79,2,6,212,5,9,0,0,0,0,587,149,77,134,618,21,1,30,636,5,11,29,21,Matches
451,Maxence Caqueret\Maxence-Caqueret,fr FRA,MF,Lyon,fr Ligue 1,19,2000,6.3,390,387,3,3,1,76,7,2,0,0,0,0,298,50,42,44,334,7,0,2,338,0,3,10,5,Matches
452,Andrea Carboni\Andrea-Carboni,it ITA,DFMF,Cagliari,it Serie A,18,2001,4.1,163,148,15,7,0,13,5,2,0,0,0,0,101,18,44,122,23,8,8,0,134,0,1,0,2,Matches
453,Irvin Cardona\Irvin-Cardona,fr FRA,FWMF,Brest,fr Ligue 1,21,1997,16.1,441,428,13,1,0,132,12,30,1,0,0,0,240,117,84,47,350,20,2,5,290,2,12,17,19,Matches
454,Marc Cardona\Marc-Cardona,es ESP,FW,Osasuna,es La Liga,24,1995,7.8,184,164,20,0,1,43,4,6,0,0,0,0,117,47,20,27,130,16,2,2,135,1,3,3,7,Matches
455,Diego Carlos\Diego-Carlos,br BRA,DF,Sevilla,es La Liga,26,1993,34.8,1845,1781,64,51,1,171,120,4,0,0,0,0,1325,173,347,181,1532,87,10,3,1600,4,38,10,7,Matches
456,Lionel Carole\Lionel-Carole,fr FRA,DF,Strasbourg,fr Ligue 1,28,1991,14.1,797,673,124,15,1,125,26,48,0,0,0,0,449,165,183,577,73,22,109,2,623,2,14,13,30,Matches
457,Yannick Carrasco\Yannick-Carrasco,be BEL,MFFW,Atlético Madrid,es La Liga,25,1993,7.0,232,202,30,6,0,45,11,24,19,6,4,5,148,48,36,22,191,14,4,0,174,2,9,3,7,Matches
458,Daniel Carriço\Daniel-Carrico,pt POR,DF,Sevilla,es La Liga,30,1988,9.4,542,523,19,17,0,41,27,0,0,0,0,0,432,59,51,61,451,18,2,5,502,1,6,3,1,Matches
459,Guido Carrillo\Guido-Carrillo,ar ARG,FW,Leganés,es La Liga,28,1991,13.5,340,332,8,0,0,144,3,3,0,0,0,0,115,105,120,13,165,62,0,7,232,2,5,6,5,Matches
460,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,eng Premier League,30,1989,7.0,207,202,5,0,1,102,7,5,0,0,0,0,78,63,66,81,45,13,0,11,134,1,7,2,4,Matches
461,Dani Carvajal\Dani-Carvajal,es ESP,DF,Real Madrid,es La Liga,27,1992,30.4,2432,2111,321,22,4,310,48,107,0,0,0,0,1488,506,438,131,1856,116,299,14,2058,8,33,35,70,Matches
462,Matis Carvalho\Matis-Carvalho,pt POR,GK,Montpellier,fr Ligue 1,20,1999,0.8,27,14,13,4,0,0,0,0,0,0,0,0,8,1,18,15,8,0,0,3,13,0,1,0,0,Matches
463,William Carvalho\William-Carvalho,pt POR,MF,Betis,es La Liga,27,1992,9.9,634,615,19,19,1,74,23,1,0,0,0,0,483,81,70,111,496,12,0,2,564,2,5,11,8,Matches
464,Casemiro\Casemiro,br BRA,MF,Real Madrid,es La Liga,27,1992,34.3,2186,2133,53,53,8,345,151,23,0,0,0,0,1379,322,485,192,1795,115,0,20,1826,8,36,36,35,Matches
465,Moreto Cassamã\Moreto-Cassama,gw GNB,MF,Reims,fr Ligue 1,21,1998,6.6,507,472,35,23,0,72,35,18,12,2,8,2,366,73,68,32,461,8,0,3,445,4,9,5,6,Matches
466,Francesco Cassata\Francesco-Cassata,it ITA,MF,Genoa,it Serie A,22,1997,16.2,653,628,25,8,0,146,20,26,1,0,0,1,442,101,110,39,576,10,16,3,511,3,14,8,30,Matches
467,Timothy Castagne\Timothy-Castagne,be BEL,DF,Atalanta,it Serie A,23,1995,19.7,1133,990,143,6,1,163,9,60,1,0,0,1,752,217,164,147,791,41,136,0,952,0,19,18,24,Matches
468,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,de Bundesliga,27,1992,26.0,985,750,235,57,0,56,30,0,0,0,0,0,466,67,452,649,160,0,0,123,720,8,20,2,2,Matches
469,Jean-Charles Castelletto\Jean-Charles-Castelletto,cm CMR,DF,Brest,fr Ligue 1,24,1995,20.4,956,935,21,20,0,152,33,3,0,0,0,0,713,83,160,89,799,42,1,3,845,0,19,9,4,Matches
470,Samu Castillejo\Samu-Castillejo,es ESP,FWMF,Milan,it Serie A,24,1995,13.4,560,510,50,10,4,100,18,68,26,11,8,0,353,86,121,449,77,8,12,3,422,4,10,11,19,Matches
